设备名称,品牌,型号,处理器,内存,存储,屏幕尺寸,显卡,电池容量,重量,价格,适用人群,特色功能,使用场景,分类标签
MacBook Air M3,苹果,MacBook Air M3,M3,8GB,256GB,13.6英寸,集成GPU,全天续航,1.24kg,7999,学生/办公,无风扇设计,办公/学习/便携,轻薄本
MacBook Pro 14 M3,苹果,MacBook Pro 14 M3,M3,8GB,512GB,14.2英寸,集成GPU,全天续航,1.55kg,12999,专业创作者,ProMotion屏幕,创作/开发/办公,专业本
MacBook Pro 16 M3 Pro,苹果,MacBook Pro 16 M3 Pro,M3 Pro,18GB,512GB,16.2英寸,集成GPU,全天续航,2.14kg,19999,重度创作者,Mini-LED屏幕,视频剪辑/3D/开发,旗舰本
联想ThinkPad X1 Carbon,联想,ThinkPad X1 Carbon,i7-1365U,16GB,512GB,14英寸,集成显卡,57Wh,1.12kg,9999,商务人士,军工级品质,商务/办公/出差,商务本
联想小新Pro 14,联想,联想小新Pro 14,i5-13500H,16GB,512GB,14英寸,集成显卡,75Wh,1.46kg,4999,学生群体,2.8K OLED,学习/办公/娱乐,性价比本
联想拯救者Y9000P,联想,联想拯救者Y9000P,i9-14900HX,32GB,1TB,16英寸,RTX 4060,80Wh,2.5kg,9999,游戏玩家,240Hz高刷,游戏/渲染/开发,游戏本
华为MateBook X Pro,华为,华为MateBook X Pro,Ultra 7,32GB,1TB,14.2英寸,集成显卡,70Wh,980g,11999,高端商务,微绒金属机身,商务/创作/办公,轻薄旗舰
华为MateBook 14,华为,华为MateBook 14,i5-1340P,16GB,512GB,14英寸,集成显卡,60Wh,1.49kg,5499,办公用户,2K触控屏,办公/学习,中端本
戴尔XPS 13,戴尔,戴尔XPS 13,i7-1365U,16GB,512GB,13.4英寸,集成显卡,55Wh,1.17kg,8999,高端用户,InfinityEdge屏幕,商务/便携,轻薄本
戴尔游匣G15,戴尔,戴尔游匣G15,i7-13650HX,16GB,512GB,15.6英寸,RTX 4050,86Wh,2.65kg,6999,游戏玩家,165Hz屏幕,游戏/设计,游戏本
惠普战66,惠普,惠普战66,i5-1340P,16GB,512GB,14英寸,集成显卡,51Wh,1.42kg,4499,商务办公,长续航,办公/出差,商务本
华硕ROG幻16,华硕,华硕ROG幻16,i9-13900H,32GB,1TB,16英寸,RTX 4070,90Wh,2.3kg,13999,游戏发烧友,Mini-LED屏幕,游戏/创作,旗舰游戏本
华硕灵耀14,华硕,华硕灵耀14,i7-1360P,16GB,512GB,14英寸,集成显卡,75Wh,1.3kg,5999,创作者,2.8K OLED,创作/办公,轻薄本
机械革命极光Pro,机械革命,机械革命极光Pro,i7-13650HX,16GB,512GB,15.6英寸,RTX 4060,66Wh,2.2kg,5999,性价比玩家,240Hz屏幕,游戏/设计,性价比游戏本
